名目季節調整系列(前期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:％),,,,,,
"Nominal, Seasonally Adjusted Series (Quarter-to-Quarter Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(%),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4- 6.,-0.2 ,1.0 ,1.0 ,0.9 ,4.5 ,-0.6 ,***,2.1 ,2.1 ,***,***,1.1 ,4.7 ,,***,-0.4 ,2.2 ,-0.3 ,,-0.0 ,-0.9 ,2.9 ,,1.2 ,,1.0 ,,,,,,
7- 9.,0.8 ,0.6 ,0.6 ,0.5 ,8.0 ,-0.7 ,***,1.0 ,-3.9 ,***,***,-1.0 ,2.7 ,,***,2.4 ,2.8 ,0.8 ,,1.1 ,1.7 ,-0.7 ,,0.0 ,,0.2 ,,,,,,
10-12.,-0.3 ,0.2 ,0.2 ,0.0 ,-4.4 ,1.1 ,***,1.1 ,-1.8 ,***,***,0.1 ,0.1 ,,***,3.4 ,4.5 ,-0.3 ,,-0.3 ,-0.4 ,0.0 ,,-0.9 ,,-0.0 ,,,,,,
1995/ 1- 3.,0.6 ,0.6 ,0.5 ,0.5 ,-3.4 ,2.2 ,***,1.3 ,-4.2 ,***,***,-0.1 ,2.0 ,,***,1.8 ,2.0 ,0.7 ,,0.8 ,1.5 ,-1.4 ,,-0.8 ,,0.1 ,,,,,,
4- 6.,0.7 ,0.5 ,0.5 ,0.5 ,-3.0 ,2.9 ,***,0.6 ,3.8 ,***,***,-2.2 ,-1.5 ,,***,-5.7 ,-1.2 ,0.6 ,,0.8 ,0.5 ,2.0 ,,2.0 ,,0.9 ,,,,,,
