実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"478,468.6 ","263,379.3 ","259,074.9 ","221,808.6 ","35,106.5 ","76,900.7 ","2,497.7 ","77,853.6 ","47,467.2 ",259.0 ,"-16,496.7 ","43,759.0 ","60,255.7 ","-8,498.8 ",,"18,454.0 ","496,922.6 ","6,177.5 ","11,671.7 ","5,494.1 ","503,100.1 ",,"500,133.9 ","376,637.8 ","123,485.3 ",,"156,263.9 ",,"475,425.1 ",,,
1997/ 1- 3.,"479,564.1 ","267,180.3 ","262,904.9 ","225,420.6 ","34,090.2 ","77,660.5 ",-389.0 ,"77,863.5 ","46,621.9 ",139.4 ,"-15,676.0 ","45,099.0 ","60,775.0 ","-7,926.7 ",,"17,906.0 ","497,470.1 ","6,687.0 ","12,378.4 ","5,691.4 ","504,157.1 ",,"500,186.7 ","377,529.8 ","122,614.2 ",,"155,431.2 ",,"479,296.8 ",,,
4- 6.,"476,091.8 ","260,323.0 ","256,128.8 ","218,504.7 ","30,911.8 ","77,803.8 ","2,472.3 ","78,052.9 ","46,667.4 ",79.0 ,"-12,735.1 ","47,011.2 ","59,746.3 ","-7,483.3 ",,"18,272.9 ","494,364.7 ","6,777.6 ","12,348.5 ","5,570.9 ","501,142.3 ",,"493,634.9 ","370,869.9 ","122,804.6 ",,"152,820.9 ",,"473,213.4 ",,,
7- 9.,"476,997.9 ","260,607.1 ","256,482.9 ","218,692.5 ","29,063.5 ","78,230.0 ","4,550.5 ","77,975.6 ","47,109.9 ",164.4 ,"-13,217.1 ","46,382.6 ","59,599.7 ","-7,486.1 ",,"18,322.5 ","495,320.4 ","5,913.0 ","11,632.2 ","5,719.2 ","501,233.4 ",,"495,157.6 ","371,986.5 ","123,214.0 ",,"152,037.5 ",,"472,122.7 ",,,
10-12.,"477,202.4 ","260,091.2 ","255,872.5 ","217,922.8 ","27,891.6 ","79,911.8 ","3,781.1 ","78,392.5 ","44,812.0 ",457.1 ,"-10,850.0 ","47,395.5 ","58,245.5 ","-7,284.9 ",,"19,006.0 ","496,208.4 ","7,030.2 ","13,234.5 ","6,204.3 ","503,238.6 ",,"493,215.1 ","371,485.6 ","121,728.1 ",,"150,737.7 ",,"472,824.7 ",,,
1998/ 1- 3.,"471,289.7 ","259,698.7 ","255,228.5 ","217,113.0 ","27,185.8 ","78,679.2 ","3,488.9 ","78,280.4 ","42,221.0 ",242.4 ,"-11,534.1 ","46,178.1 ","57,712.3 ","-6,972.4 ",,"19,766.5 ","491,056.2 ","6,624.1 ","12,467.4 ","5,843.3 ","497,680.2 ",,"487,930.3 ","368,856.4 ","119,009.7 ",,"146,428.3 ",,"467,355.8 ",,,
4- 6.,"469,323.6 ","259,546.3 ","254,792.5 ","216,517.7 ","26,659.3 ","77,937.9 ","1,598.2 ","78,886.7 ","41,856.9 ",172.5 ,"-9,906.4 ","45,261.5 ","55,167.9 ","-7,427.9 ",,"19,528.2 ","488,851.8 ","5,622.2 ","11,722.1 ","6,099.9 ","494,474.0 ",,"484,872.5 ","365,625.5 ","119,223.6 ",,"144,822.2 ",,"467,190.2 ",,,
7- 9.,"470,137.6 ","261,360.2 ","256,394.5 ","217,936.1 ","26,054.0 ","77,402.5 ",-400.0 ,"79,314.2 ","43,794.2 ",-81.8 ,"-9,827.3 ","45,432.1 ","55,259.4 ","-7,478.4 ",,"19,072.0 ","489,209.6 ","6,362.3 ","11,837.6 ","5,475.3 ","495,571.9 ",,"485,606.3 ","364,403.4 ","121,260.0 ",,"145,450.1 ",,"470,037.6 ",,,
10-12.,"473,921.3 ","260,973.1 ","255,862.3 ","217,236.9 ","25,483.2 ","75,354.6 ","2,429.0 ","79,870.0 ","48,301.8 ",-601.5 ,"-9,332.3 ","44,607.5 ","53,939.9 ","-8,556.7 ",,"19,523.8 ","493,445.0 ","5,793.3 ","10,093.0 ","4,299.7 ","499,238.3 ",,"489,464.3 ","364,054.1 ","125,615.8 ",,"146,822.6 ",,"471,598.7 ",,,
1999/ 1- 3.,"467,347.8 ","261,930.2 ","256,744.5 ","217,892.6 ","25,239.8 ","73,232.5 ","-3,509.0 ","80,735.9 ","48,477.4 ",-88.0 ,"-10,893.1 ","44,707.6 ","55,600.7 ","-7,778.0 ",,"20,445.8 ","487,793.6 ","5,155.2 ","9,859.0 ","4,703.8 ","492,948.8 ",,"483,740.4 ","357,027.8 ","127,055.1 ",,"144,496.2 ",,"469,994.2 ",,,
